Title,Year,Rating,Votes,Runtime(min),Genres,Overview,Director,Actors
Akira,1988,7.9,4369,124,"Animation, Science Fiction, Action",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,Katsuhiro Otomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tarō Ishida, Mizuho Suzuki"
Sanjuro,1962,7.942,634,96,"Drama, Action, Comedy","Toshiro Mifune swaggers and snarls to brilliant comic effect in Kurosawa's tightly paced, beautifully composed ""Sanjuro."" In this companion piece and sequel to ""Yojimbo,"" jaded samurai Sanjuro helps an idealistic group of young warriors weed out their clan's evil influences, and in the process turns their image of a proper samurai on its ear.",Akira Kurosawa,"Toshirō Mifune, Tatsuya Nakadai, Keiju Kobayashi, Yūzō Kayama, Reiko Dan"
Rope,1948,7.9,2783,81,"Thriller, Crime, Drama",Two young men attempt to prove they committed the perfect murder by hosting a dinner party for the family of a classmate they just strangled to death.,Alfred Hitchcock,"John Dall, Farley Granger, James Stewart, Joan Chandler, Douglas Dick"
Braveheart,1995,7.941,10367,177,"Action, Drama, History, War","Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",Mel Gibson,"Mel Gibson, Catherine McCormack, Sophie Marceau, Patrick McGoohan, Angus Macfadyen"
The Cure,1995,7.94,315,97,"Drama, Family","Erik, a loner, finds a friend in Dexter, an eleven-year-old boy with AIDS. They vow to find a cure for AIDS together and save Dexter's life in an eventful summer.",Peter Horton,"Joseph Mazzello, Brad Renfro, Annabella Sciorra, Diana Scarwid, Bruce Davison"
Blade Runner,1982,7.94,14058,118,"Science Fiction, Drama, Thriller","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh"
Ivan Vasilyevich Changes His Profession,1973,7.9,361,93,"Comedy, Science Fiction","A scientist builds a time machine and accidentally sends his apartment complex manager and a petty burglar to 16th century Moscow, while Tsar Ivan the Terrible travels to 1973.",Leonid Gaidai,"Aleksandr Demyanenko, Yuriy Yakovlev, Leonid Kuravlyov, Mikhail Pugovkin, Vladimir Etush"
Raise the Red Lantern,1991,7.939,729,125,Drama,"In 1920s China, 19-year-old Songlian becomes a concubine of a powerful lord and is forced to compete with his three wives for the privileges gained.",Zhang Yimou,"Gong Li, Ma Jingwu, He Saifei, Cao Cuifen, Kong Lin"
12 Years a Slave,2013,7.936,11415,134,"Drama, History","In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",Steve McQueen,"Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o, Benedict Cumberbatch, Paul Dano"
Gone with the Wind,1939,7.934,4109,233,"Drama, War, Romance",The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.,Victor Fleming,"Vivien Leigh, Clark Gable, Olivia de Havilland, Leslie Howard, Hattie McDaniel"
When Marnie Was There,2014,7.934,1835,103,"Animation, Drama, Family, Mystery","Upon being sent to live with relatives in the countryside due to an illness, an emotionally distant adolescent girl becomes obsessed with an abandoned mansion and infatuated with a girl who lives there - a girl who may or may not be real.",Hiromasa Yonebayashi,"Sara Takatsuki, Kasumi Arimura, Nanako Matsushima, Susumu Terajima, Toshie Negishi"
Close-Up,1990,7.9,399,98,"Crime, Drama","This fiction-documentary hybrid uses a sensational real-life event—the arrest of a young man on charges that he fraudulently impersonated the well-known filmmaker Mohsen Makhmalbaf—as the basis for a stunning, multilayered investigation into movies, identity, artistic creation, and existence, in which the real people from the case play themselves.",Abbas Kiarostami,"Hossain Sabzian, Monoochehr Ahankhah, Mahrokh Ahankhah, Abolfazl Ahankhah, Mehrdad Ahankhah"
Me Before You,2016,7.928,12599,110,"Drama, Romance","A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",Thea Sharrock,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance, Brendan Coyle"
Suzume,2022,7.927,1450,121,"Animation, Drama, Adventure, Fantasy","Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right.",Makoto Shinkai,"Nanoka Hara, Hokuto Matsumura, Eri Fukatsu, Shota Sometani, Sairi Ito"
Nobody,2021,7.926,7307,91,"Action, Thriller","Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",Ilya Naishuller,"Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen, Christopher Lloyd, Michael Ironside"
The Postman,1994,7.926,1155,109,"Comedy, Drama, Romance",Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,Michael Radford,"Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta, Renato Scarpa, Linda Moretti"
CODA,2021,7.924,2325,112,"Drama, Music, Romance","As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.",Siân Heder,"Emilia Jones, Marlee Matlin, Troy Kotsur, Eugenio Derbez, Ferdia Walsh-Peelo"
Raging Bull,1980,7.925,4419,129,Drama,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto"
"Batman: The Dark Knight Returns, Part 2",2013,7.924,1512,78,"Science Fiction, Action, Animation, Mystery",Batman has stopped the reign of terror that The Mutants had cast upon his city.  Now an old foe wants a reunion and the government wants The Man of Steel to put a stop to Batman.,Jay Oliva,"Peter Weller, Ariel Winter, David Selby, Michael Emerson, Mark Valley"
Ghost in the Shell,1995,7.924,3497,83,"Action, Animation, Science Fiction","In the year 2029, the barriers of our world have been broken down by the net and by cybernetics, but this brings new vulnerability to humans in the form of brain-hacking. When a highly-wanted hacker known as 'The Puppetmaster' begins involving them in politics, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop the Puppetmaster.",Mamoru Oshii,"Atsuko Tanaka, Akio Otsuka, Iemasa Kayumi, Koichi Yamadera, Yutaka Nakano"
Don't Look Now... We're Being Shot At!,1966,7.924,1369,132,"Comedy, War","During World War II, two French civilians and a downed British Bomber Crew set out from Paris to cross the demarcation line between Nazi-occupied Northern France and the South. From there they will be able to escape to England. First, they must avoid German troops – and the consequences of their own blunders.",Gérard Oury,"Bourvil, Louis de Funès, Terry-Thomas, Claudio Brook, Mike Marshall"
Where Hands Touch,2018,7.9,518,122,"War, Drama, Romance","Germany, 1944. Leyna, the 15-year old daughter of a white German mother and a black African father, meets Lutz, a compassionate member of the Hitler Youth whose father is a prominent Nazi soldier, and they form an unlikely connection in this quickly changing world.",Amma Asante,"Amandla Stenberg, George MacKay, Abbie Cornish, Christopher Eccleston, Tom Sweet"
Throne of Blood,1957,7.922,888,108,"Drama, History","Returning to their lord's castle, samurai warriors Washizu and Miki are waylaid by a spirit who predicts their futures. When the first part of the spirit's prophecy comes true, Washizu's scheming wife, Asaji, presses him to speed up the rest of the spirit's prophecy by murdering his lord and usurping his place. Director Akira Kurosawa's resetting of William Shakespeare's ""Macbeth"" in feudal Japan is one of his most acclaimed films.",Akira Kurosawa,"Toshirō Mifune, Isuzu Yamada, Takashi Shimura, Akira Kubo, Hiroshi Tachikawa"
The Cabinet of Dr. Caligari,1920,7.922,1633,67,"Drama, Horror, Thriller, Crime","Francis, a young man, recalls in his memory the horrible experiences he and his fiancée Jane recently went through. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep.",Robert Wiene,"Werner Krauss, Conrad Veidt, Friedrich Fehér, Lil Dagover, Hans Heinrich von Twardowski"
Forgotten,2017,7.9,1159,108,"Thriller, Mystery, Crime","Seoul, South Korea, 1997. When the young but extremely anxious student Jin-seok, his parents and his successful older brother Yoo-seok move to a new home, mysterious and frightening events begin to happen around them, unexplained events that threaten to ruin their seemingly happy lives. Unable to understand what is happening, Jin-seok wonders if he is losing his mind.",Jang Hang-jun,"Kang Ha-neul, Kim Moo-yul, Moon Sung-keun, Na Young-hee, Nam Myung-ryeol"
Raiders of the Lost Ark,1981,7.9,12792,115,"Adventure, Action","When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies, Ronald Lacey"
Dallas Buyers Club,2013,7.92,8598,117,"Drama, History","Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare, Steve Zahn"
Heat,1995,7.92,7549,170,"Crime, Drama, Action",Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore"
Freedom Writers,2007,7.919,2274,123,"Crime, Drama","A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",Richard LaGravenese,"Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April Hernandez Castillo"
Cries and Whispers,1972,7.918,710,95,Drama,"As Agnes slowly dies of cancer, her sisters are so immersed in their own psychic pains that they are unable to offer her the support she needs.",Ingmar Bergman,"Liv Ullmann, Ingrid Thulin, Kari Sylwan, Harriet Andersson, Erland Josephson"
Where Is The Friend's House?,1987,7.9,374,83,"Drama, Family","An 8 year old boy must return his friend's notebook he took by mistake, lest his friend be punished by expulsion from school.",Abbas Kiarostami,"Babek Ahmed Poor, Ahmed Ahmed Poor, Kheda Barech Defai, Iran Outari, Ait Ansari"
The Third Man,1949,7.916,1929,105,"Thriller, Mystery","In postwar Vienna, Austria, Holly Martins, a writer of pulp Westerns, arrives penniless as a guest of his childhood chum Harry Lime, only to learn he has died. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Major Calloway, and falling head-over-heels for Harry's grief-stricken lover, Anna.",Carol Reed,"Joseph Cotten, Alida Valli, Trevor Howard, Orson Welles, Paul Hörbiger"
Children of Heaven,1997,7.9,644,88,"Drama, Family","Zohre's shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zohre until they come up with an idea: they will share one pair of shoes. School awaits.",Majid Majidi,"Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi, Reza Naji, Fereshte Sarabandi"
Amélie,2001,7.915,11737,122,"Comedy, Romance","At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus, Serge Merlin, Jamel Debbouze"
About Time,2013,7.914,8689,123,"Drama, Romance, Fantasy","The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Tom Hollander, Margot Robbie"
What Ever Happened to Baby Jane?,1962,7.914,1073,135,"Thriller, Drama, Horror",A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Robert Aldrich,"Bette Davis, Joan Crawford, Victor Buono, Wesley Addy, Julie Allred"
Chinatown,1974,7.913,3922,130,"Crime, Drama, Mystery, Thriller","Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez, John Hillerman"
A Trip to the Moon,1902,7.913,1828,15,"Adventure, Science Fiction","Professor Barbenfouillis and five of his colleagues from the Academy of Astronomy travel to the Moon aboard a rocket propelled by a giant cannon. Once on the lunar surface, the bold explorers face the many perils hidden in the caves of the mysterious planet.",Georges Méliès,"Georges Méliès, Bleuette Bernon, François Lallement, Henri Delannoy, Victor André"
The Cranes Are Flying,1957,7.9,395,97,"Drama, Romance, War","Veronika and Boris come together in Moscow shortly before World War II. Walking along the river, they watch cranes fly overhead, and promise to rendezvous before Boris leaves to fight. Boris misses the meeting and is off to the front lines, while Veronika waits patiently, sending letters faithfully. After her house is bombed, Veronika moves in with Boris' family, into the company of a cousin with his own intentions.",Mikhail Kalatozov,"Tatyana Samoylova, Aleksey Batalov, Vasili Merkuryev, Aleksandr Shvorin, Svetlana Kharitonova"
Tokyo Godfathers,2003,7.912,1336,92,"Animation, Drama, Comedy","On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",Satoshi Kon,"Aya Okamoto, Yoshiaki Umegaki, Tohru Emori, Satomi Korogi, Mamiko Noto"
Army of Shadows,1969,7.911,670,145,"War, History, Thriller","Betrayed by an informant, Philippe Gerbier finds himself trapped in a torturous Nazi prison camp. Though Gerbier escapes to rejoin the Resistance in occupied Marseilles, France, and exacts his revenge on the informant, he must continue a quiet, seemingly endless battle against the Nazis in an atmosphere of tension, paranoia and distrust.",Jean-Pierre Melville,"Lino Ventura, Paul Meurisse, Jean-Pierre Cassel, Simone Signoret, Claude Mann"
Inside Out,2015,7.91,22412,95,"Animation, Family, Adventure, Drama, Comedy","When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",Pete Docter,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black"
Limelight,1952,7.9,539,137,"Romance, Drama, Music",A fading music hall comedian tries to help a despondent ballet dancer learn to walk and to again feel confident about life.,Charlie Chaplin,"Charlie Chaplin, Claire Bloom, Nigel Bruce, Buster Keaton, Sydney Chaplin"
Three Colors: Red,1994,7.91,1426,100,"Drama, Mystery, Romance","Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors’ phone calls.",Krzysztof Kieślowski,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit, Samuel Le Bihan"
Unforgiven,1992,7.91,4556,130,Western,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman, Jaimz Woolvett, Richard Harris"
Miraculous World: Shanghai - The Legend of Ladydragon,2021,7.9,655,54,"Animation, Fantasy, Action, TV Movie","On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!",Thomas Astruc,"Annouck Hautbois, Benjamin Bollen, Geneviève Doang, Antoine Tomé, Marie Chevalot"
Pather Panchali,1955,7.9,435,125,Drama,A depiction of the life of an impoverished early twentieth century rural Bengali family.,Satyajit Ray,"Kanu Bannerjee, Karuna Banerjee, Chunibala Devi, Uma Das Gupta, Subir Banerjee"
"No manches, Frida 2: paraíso destruido",2019,7.907,900,102,Comedy,"Zequi and Lucy are about to get married. Although he promises not to overdo it during the bachelor party, things get out of control.",Nacho G. Velilla,"Omar Chaparro, Martha Higareda, Carla Adell, Fernanda Castillo, Regina Pavón"
In the Name of the Father,1993,7.907,1795,133,Drama,"A small-time Belfast thief, Gerry Conlon, is wrongly convicted of an IRA bombing in London, along with his father and friends, and spends 15 years in prison fighting to prove his innocence.",Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite, Emma Thompson, John Lynch, Corin Redgrave"
My Father's Violin,2022,7.9,330,112,"Drama, Music","Through their shared grief and connection to music, an orphaned girl bonds with her emotionally aloof, successful violinist uncle.",Andaç Haznedaroğlu,"Engin Altan Düzyatan, Belçim Bilgin, Gülizar Nisa Uray, Selim Erdoğan, Erdem Baş"
Amarcord,1973,7.906,1127,123,"Comedy, Drama","In an Italian seaside town, young Titta gets into trouble with his friends and watches various local eccentrics as they engage in often absurd behavior. Frequently clashing with his stern father and defended by his doting mother, Titta witnesses the actions of a wide range of characters, from his extended family to Fascist loyalists to sensual women, with certain moments shifting into fantastical scenarios.",Federico Fellini,"Pupella Maggio, Armando Brancia, Magali Noël, Ciccio Ingrassia, Nando Orfei"
Diabolique,1955,7.906,1000,117,"Horror, Thriller, Mystery","The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.",Henri-Georges Clouzot,"Véra Clouzot, Simone Signoret, Paul Meurisse, Charles Vanel, Jean Brochard"
A Street Cat Named Bob,2016,7.905,1463,103,"Family, Drama","James Bowen, a homeless busker and recovering drug addict, has his life transformed when he meets a stray ginger cat.",Roger Spottiswoode,"Luke Treadaway, Ruta Gedmintas, Joanne Froggatt, Anthony Stewart Head, Caroline Goodall"
Divorce Italian Style,1961,7.905,475,104,"Comedy, Crime","Ferdinando Cefalù is desperate to marry his cousin, Angela, but he is married to Rosalia and divorce is illegal in Italy. To get around the law, he tries to trick his wife into having an affair so he can catch her and murder her, as he knows he would be given a light sentence for killing an adulterous woman. He persuades a painter to lure his wife into an affair, but Rosalia proves to be more faithful than he expected.",Pietro Germi,"Marcello Mastroianni, Daniela Rocca, Stefania Sandrelli, Leopoldo Trieste, Odoardo Spadaro"
Mulan,1998,7.9,9883,88,"Animation, Family, Adventure","To save her father from certain death in the army, a young woman secretly enlists in his place and becomes one of China's greatest heroines in the process.",Tony Bancroft,"Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer, Harvey Fierstein"
On the Waterfront,1954,7.9,1618,108,"Crime, Drama, Romance","Terry Malloy is a kindhearted dockworker, and former boxer, who is tricked by his corrupt bosses into leading his friend to death. After falling in love, he tries to leave the waterfront and expose his employers.",Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb, Eva Marie Saint, Rod Steiger"
Titanic,1997,7.905,25882,194,"Drama, Romance","101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher"
La Strada,1954,7.905,1084,115,Drama,"When Gelsomina, a naïve young woman, is purchased from her impoverished mother by brutish circus strongman Zampanò to be his wife and partner, she loyally endures her husband's coldness and abuse as they travel the Italian countryside performing together. Soon Zampanò must deal with his jealousy and conflicted feelings about Gelsomina when she finds a kindred spirit in Il Matto, the carefree circus fool, and contemplates leaving Zampanò.",Federico Fellini,"Giulietta Masina, Anthony Quinn, Richard Basehart, Aldo Silvani, Marcella Rovere"
It's Such a Beautiful Day,2012,7.904,337,62,"Animation, Comedy",Bill struggles to put together his shattered psyche.,Don Hertzfeldt,"Don Hertzfeldt, Sara Cushman"
Guardians of the Galaxy,2014,7.9,28436,121,"Action, Science Fiction, Adventure","Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper"
Simone: Woman of the Century,2022,7.9,355,140,"Drama, History","Simone Veil's life story through the pivotal events of Twentieth Century. Her childhood, her political battles, her tragedies. An intimate and epic portrait of an extraordinary woman who eminently challenged and transformed her era defending a humanist message still keenly relevant today.",Olivier Dahan,"Elsa Zylberstein, Rebecca Marder, Élodie Bouchez, Judith Chemla, Olivier Gourmet"
Ne Zha,2019,7.903,495,110,"Animation, Fantasy, Adventure","The Primus extracts a Mixed Yuan Bead into a Spirit Seed and a Demon Pill. The Spirit Seed can be reincarnated as a human to help King Zhou establish a new dynasty, whereas the Demon Pill will create a devil threatening humanity. Ne Zha is the one who is destined to be the hero, but instead he becomes a devil incarnate, because the Spirit Seed and a Demon Pill are switched.",Yang Yu,"Lu Yanting, Joseph, Han Mo, Chen Hao, Lu Qi"
Dragon Ball Super: Super Hero,2022,7.903,2883,99,"Animation, Science Fiction, Action","The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.",Tetsuro Kodama,"Masako Nozawa, Toshio Furukawa, Yuko Minaguchi, Hiroshi Kamiya, Mamoru Miyano"
A Whisker Away,2020,7.902,1403,104,"Animation, Drama, Romance, Fantasy","A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur.",Junichi Sato,"Mirai Shida, Natsuki Hanae, Koichi Yamadera, Hiroaki Ogi, Minako Kotobuki"
Harry Potter and the Philosopher's Stone,2001,7.902,28101,152,"Adventure, Fantasy","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton"
My Hero Academia: Two Heroes,2018,7.901,1031,96,"Animation, Action, Adventure, Fantasy","All Might and Deku accept an invitation to go abroad to a floating and mobile manmade city, called 'I-Island', where they research quirks as well as hero supplemental items at the special 'I-Expo' convention that is currently being held on the island. During that time, suddenly, despite an iron wall of security surrounding the island, the system is breached by a villain, and the only ones able to stop him are the students of Class 1-A.",Kenji Nagasaki,"Daiki Yamashita, Kenta Miyake, Mirai Shida, Katsuhisa Namase, Nobuhiko Okamoto"
"Remi, Nobody's Boy",2018,7.9,425,109,"Adventure, Family, Drama","At the age of 10 years, young Rémi is snatched from his adoptive mother and entrusted to the signor Vitalis, a mysterious itinerant musician. Has its hard sides - he will learn the harsh life of acrobat and sing to win his bread. Accompanied by the faithful dog capi and of the small monkey Joli-Coeur, his long trip through France, made for meetings, friendships and mutual assistance, leads him to the secret of its origins.",Antoine Blossier,"Maleaume Paquin, Daniel Auteuil, Virginie Ledoyen, Ludivine Sagnier, Jonathan Zaccaï"
Dogman,2023,7.9,1173,115,"Action, Drama, Crime","A boy, bruised by life, finds his salvation through the love of his dogs.",Luc Besson,"Caleb Landry Jones, Jojo T. Gibbs, Christopher Denham, Clemens Schick, John Charles Aguilar"
The Boy Who Harnessed the Wind,2019,7.9,1712,113,"Drama, History","Against all the odds, a thirteen year old boy in Malawi invents an unconventional way to save his family and village from famine.",Chiwetel Ejiofor,"Maxwell Simba, Chiwetel Ejiofor, Aïssa Maïga, Lily Banda, Joseph Marcell"
Ron's Gone Wrong,2021,7.9,1889,107,"Animation, Science Fiction, Family, Comedy","In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",Sarah Smith,"Zach Galifianakis, Jack Dylan Grazer, Ed Helms, Olivia Colman, Justice Smith"
Dragon Ball Super: Broly,2018,7.9,2973,99,"Action, Science Fiction, Animation","Earth is peaceful following the Tournament of Power. Realizing that the universes still hold many more strong people yet to see, Goku spends all his days training to reach even greater heights. Then one day, Goku and Vegeta are faced by a Saiyan called 'Broly' who they've never seen before. The Saiyans were supposed to have been almost completely wiped out in the destruction of Planet Vegeta, so what's this one doing on Earth? This encounter between the three Saiyans who have followed completely different destinies turns into a stupendous battle, with even Frieza (back from Hell) getting caught up in the mix.",Tatsuya Nagamine,"Masako Nozawa, Aya Hisakawa, Ryo Horikawa, Toshio Furukawa, Takeshi Kusao"
La La Land,2016,7.899,17223,129,"Comedy, Drama, Romance, Music","Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt, J.K. Simmons"
Captain Fantastic,2016,7.898,6499,118,"Adventure, Drama","Deep in the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, beginning a journey that challenges his idea of what it means to be a parent.",Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton"
Faust,1926,7.898,359,116,"Fantasy, Drama, Horror","God and Satan war over earth; to settle things, they wager on the soul of Faust, a learned and prayerful alchemist.",F. W. Murnau,"Gösta Ekman, Emil Jannings, Camilla Horn, Frida Richard, William Dieterle"
V for Vendetta,2006,7.898,14743,132,"Action, Thriller, Science Fiction","In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",James McTeigue,"Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry, John Hurt"
Return of the Jedi,1983,7.897,15987,132,"Adventure, Action, Science Fiction","Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels"
In This Corner of the World,2016,7.896,571,130,"Drama, Animation, Romance, War, History","Japan, 1943, during World War II. Young Suzu leaves her village near Hiroshima to marry and live with her in-laws in Kure, a military harbor. Her creativity to overcome deprivation quickly makes her indispensable at home. Inhabited by an ancestral wisdom, Suzu impregnates the simple gestures of everyday life with poetry and beauty. The many hardships, the loss of loved ones, the frequent air raids of the enemy, nothing alters her enthusiasm…",Sunao Katabuchi,"Non, Yoshimasa Hosoya, Natsuki Inaba, Minori Omi, Daisuke Ono"
Death Note Relight 1: Visions of a God,2007,7.896,356,131,"TV Movie, Crime, Drama, Fantasy, Thriller, Animation","A recap of Death Note episodes 1–26, with new footage. When rogue shinigami Ryuk leaves his Death Note in the human world, he has no idea how far the one who finds it will take his new-found power. With the Death Note in hand, brilliant high school student Light Yagami vows to rid the world of evil.",Tetsuro Araki,"Mamoru Miyano, Shido Nakamura, Kappei Yamaguchi, Aya Hirano, Naoya Uchida"
